Title,Price,Location,Surface,Number_of_Rooms,Floor,Finishing_Condition,Heating,Parking_Space,Balcony_Garden_Terrace,Link,Voivodeship,City
3-pokojowe mieszkanie 52m2 + taras Bez Pośredników,,"ul. Batalionów Chłopskich, Chrzanów, Bemowo, Warszawa, mazowieckie",52.67,3,5/6,do wykończenia,,garaż/miejsce parkingowe,"taras, balkon",https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-52m2-taras-bez-posrednikow-ID4iruL,Mazowieckie,Warszawa
Przestronne | z balkonem | Gocław,1599000.0,"ul. gen. Romana Abrahama, Gocław, Praga-Południe, Warszawa, mazowieckie",125.0,5,3/6,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/przestronne-z-balkonem-goclaw-ID4nUW7,Mazowieckie,Warszawa
Wysoka Stopa Zwrotu - Świetne Miejsce Stara Praga,765000.0,"Stara Praga, Praga-Północ, Warszawa, mazowieckie",27.56,1,3/5,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/wysoka-stopa-zwrotu-swietne-miejsce-stara-praga-ID4nUW5,Mazowieckie,Warszawa
Okazja 3 Pokoje w apartamentowcu przy Ch Arkadia,1300000.0,"al. Aleja Jana Pawła II, Muranów, Śródmieście, Warszawa, mazowieckie",74.6,3,9/9,do wykończenia,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/okazja-3-pokoje-w-apartamentowcu-przy-ch-arkadia-ID4nUW3,Mazowieckie,Warszawa
Przestronne 3-pokojowe mieszkanie do wprowadzenia!,950000.0,"ul. Palmowa, Wawer, Wawer, Warszawa, mazowieckie",90.7,3,1/3,do zamieszkania,kotłownia,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-do-wprowadzenia-ID4njkY,Mazowieckie,Warszawa
Luksusowy apartament na Bliskiej Woli,2000000.0,"Juliana Konstantego Ordona, Odolany, Wola, Warszawa, mazowieckie",73.76,3,parter/8,do zamieszkania,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/luksusowy-apartament-na-bliskiej-woli-ID4nMut,Mazowieckie,Warszawa
Atrakcyjne słoneczne mieszkanie 2 pok. 51m2 + 6m2,669000.0,"ul. Igańska, Grochów, Praga-Południe, Warszawa, mazowieckie",51.0,2,4/13,do zamieszkania,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/atrakcyjne-sloneczne-mieszkanie-2-pok-51m2-6m2-ID4nJXZ,Mazowieckie,Warszawa
Nowe | Wola | 2 Pokoje | Apartament 2020r | Kw,718500.0,"ul. Stańczyka, Odolany, Wola, Warszawa, mazowieckie",38.0,2,6/8,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/nowe-wola-2-pokoje-apartament-2020r-kw-ID4nxMe,Mazowieckie,Warszawa
Luksusowy apartament w sercu prestiżowej dzielnice,1180000.0,"al. Aleja Rzeczypospolitej 33, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",52.3,3,parter/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/luksusowy-apartament-w-sercu-prestizowej-dzielnice-ID4myU1,Mazowieckie,Warszawa
Komfortowy apartament na Ursynowie z ogródkiem,1751900.0,"ul. Wilczy Dół, Kabaty, Ursynów, Warszawa, mazowieckie",89.62,4,parter/4,do wykończenia,miejskie,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/komfortowy-apartament-na-ursynowie-z-ogrodkiem-ID4nUUh,Mazowieckie,Warszawa
Komfortowy apartament na Mokotowię,3547119.0,"ul. Władysława Orkana, Ksawerów, Mokotów, Warszawa, mazowieckie",130.89,4,parter/3,do wykończenia,inne,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/komfortowy-apartament-na-mokotowie-ID4nUUg,Mazowieckie,Warszawa
"Komfortowe, trzypokojowe mieszkanie na Tarchominie",782000.0,"ul. Myśliborska, Tarchomin, Białołęka, Warszawa, mazowieckie",62.07,3,1/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/komfortowe-trzypokojowe-mieszkanie-na-tarchominie-ID4nrzz,Mazowieckie,Warszawa
Unikatowy Apartament w prestiżowej części Mokotowa,3939810.0,"Białej Koniczyny, Stegny, Mokotów, Warszawa, mazowieckie",187.61,4,1/2,,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/unikatowy-apartament-w-prestizowej-czesci-mokotowa-ID4nUU9,Mazowieckie,Warszawa
Komfortowe mieszkanie na Bielanach,1684500.0,"al. Aleja Władysława Reymonta, Stare Bielany, Bielany, Warszawa, mazowieckie",80.21,4,1/4,do wykończenia,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-na-bielanach-ID4nRAa,Mazowieckie,Warszawa
Komfortowy apartament na Bemowie,1990000.0,"ul. Strońska, Górce, Bemowo, Warszawa, mazowieckie",107.4,4,6/6,do wykończenia,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/komfortowy-apartament-na-bemowie-ID4ek2C,Mazowieckie,Warszawa
"Komfortowy apartament , Centrum Wola",2777500.0,"ul. Kolejowa, Czyste, Wola, Warszawa, mazowieckie",113.16,5,6/8,do wykończenia,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/komfortowy-apartament-centrum-wola-ID4nrHM,Mazowieckie,Warszawa
Penthouse otoczony tarasem o pow. 166m2 z widokiem,1990000.0,"Górce, Bemowo, Warszawa, mazowieckie",107.4,5,6/6,do wykończenia,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/penthouse-otoczony-tarasem-o-pow-166m2-z-widokiem-ID4nLIf,Mazowieckie,Warszawa
"Bardzo ładny 3 pokojowy apartament ""Hubertus """,1490000.0,"ul. Obrzeżna, Służew, Mokotów, Warszawa, mazowieckie",88.0,3,3/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/bardzo-ladny-3-pokojowy-apartament-hubertus-ID4nGbQ,Mazowieckie,Warszawa
"2 pokoje, balkon, miejsce parkingowe w cenie",657000.0,"Gocławek, Praga-Południe, Warszawa, mazowieckie",40.05,2,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-balkon-miejsce-parkingowe-w-cenie-ID4nUT7,Mazowieckie,Warszawa
Skandynawski styl,749000.0,"Nowodwory, Białołęka, Warszawa, mazowieckie",55.54,3,4/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/skandynawski-styl-ID4nolT,Mazowieckie,Warszawa
Gotowe do wprowadzenia mieszkanie w Wilanowie!,990000.0,"al. Aleja Rzeczypospolitej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",54.5,2,1/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-mieszkanie-w-wilanowie-ID4nURT,Mazowieckie,Warszawa
Widne 3 -pokojowe po generalnym remoncie metro Bró,997000.0,"ul. Wyszogrodzka, Bródno, Targówek, Warszawa, mazowieckie",67.13,3,3/17,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/widne-3-pokojowe-po-generalnym-remoncie-metro-bro-ID4nqLi,Mazowieckie,Warszawa
"Super Lokalizacja 2 pok.41,1m2 Puławska róg Dolnej",720000.0,"Stary Mokotów, Mokotów, Warszawa, mazowieckie",41.1,2,2/7,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/super-lokalizacja-2-pok-41-1m2-pulawska-rog-dolnej-ID4nURk,Mazowieckie,Warszawa
Mokotów! Klimatyzacja! Wanna i prysznic!Pod klucz!,1349000.0,"ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie",66.0,3,6/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mokotow-klimatyzacja-wanna-i-prysznic-pod-klucz-ID4nJfx,Mazowieckie,Warszawa
"Blisko lotniska! 3-pokojowe, duży narożny balkon",1299000.0,"ul. Nowy Służewiec, Wyczółki, Ursynów, Warszawa, mazowieckie",62.0,3,5/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/blisko-lotniska-3-pokojowe-duzy-narozny-balkon-ID4nJfy,Mazowieckie,Warszawa
2- pokojowe mieszkanie na Mokotowie,1280000.0,"Wierzbno, Mokotów, Warszawa, mazowieckie",56.47,2,4/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-mokotowie-ID4fM33,Mazowieckie,Warszawa
3 pokoje ul. Grzybowska,1049000.0,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",49.0,3,8/15,do zamieszkania,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/3-pokoje-ul-grzybowska-ID4nF3j,Mazowieckie,Warszawa
"38m2 tuż przy metrze!2-pok, prysznic!Garaż.Bez Pcc",879000.0,"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",38.28,2,4/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/38m2-tuz-przy-metrze-2-pok-prysznic-garaz-bez-pcc-ID4nJfG,Mazowieckie,Warszawa
Przestronne 3 pokoje | Metro Młociny | Balkon 16m2,1150000.0,"ul. Wólczyńska 63, Chomiczówka, Bielany, Warszawa, mazowieckie",76.33,3,3/5,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-metro-mlociny-balkon-16m2-ID4nOlN,Mazowieckie,Warszawa
"Bezpośrednio nowe wykończone 63,8m2 ul Przy Forcie",937566.0,"ul. Przy Forcie 12 B, Skorosze, Ursus, Warszawa, mazowieckie",63.78,3,5/6,do zamieszkania,kotłownia,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/bezposrednio-nowe-wykonczone-63-8m2-ul-przy-forcie-ID4manR,Mazowieckie,Warszawa
"Mieszkanie na sprzedaż, Warszawa, Praga Południe,",1550000.0,"Grochów, Praga-Południe, Warszawa, mazowieckie",81.3,3,2/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-warszawa-praga-poludnie-ID4m8KT,Mazowieckie,Warszawa
"Słoneczne, ciche i gotowe 3 Pokoje - duży balkon!",739000.0,"ul. Sprawna, Nowodwory, Białołęka, Warszawa, mazowieckie",56.63,3,4/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/sloneczne-ciche-i-gotowe-3-pokoje-duzy-balkon-ID4nO1C,Mazowieckie,Warszawa
Komfortowe i słoneczne 2 pokoje w sercu Warszawy!,599000.0,"ul. Okopowa, Nowolipki, Wola, Warszawa, mazowieckie",33.29,2,3/11,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/komfortowe-i-sloneczne-2-pokoje-w-sercu-warszawy-ID4nR8n,Mazowieckie,Warszawa
Nowoczesny Apartament | Śródmieście | Górnośląska6,1800000.0,"ul. Górnośląska, Solec, Śródmieście, Warszawa, mazowieckie",56.36,2,2/8,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-srodmiescie-gornoslaska6-ID4mEuD,Mazowieckie,Warszawa
4-pokojowe mieszkanie 87m2 + taras Bez Prowizji,974458.0,"ul. Kazimierza Gierdziejewskiego, Szamoty, Ursus, Warszawa, mazowieckie",87.71,4,1/7,do wykończenia,,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-taras-bez-prowizji-ID4ltSR,Mazowieckie,Warszawa
"Bemowo 2 pokoje, klima, garaż, piwnica, ogród",756000.0,"ul. Strzelców, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",42.0,2,parter/5,,miejskie,garaż/miejsce parkingowe,"balkon, ogródek, taras",https://www.otodom.pl/pl/oferta/bemowo-2-pokoje-klima-garaz-piwnica-ogrod-ID4nFn6,Mazowieckie,Warszawa
"Doskonałe 3 pokoje, ogródek, 2x garaż, klimatyzacj",699500.0,"ul. Szlachecka, Brzeziny, Białołęka, Warszawa, mazowieckie",43.62,3,parter/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, ogródek, taras",https://www.otodom.pl/pl/oferta/doskonale-3-pokoje-ogrodek-2x-garaz-klimatyzacj-ID4n7TW,Mazowieckie,Warszawa
3 oddzielne pokoje po remoncie z Kw,699500.0,"ul. św. Bonifacego, Sadyba, Mokotów, Warszawa, mazowieckie",47.0,3,4/4,,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-oddzielne-pokoje-po-remoncie-z-kw-ID4n7un,Mazowieckie,Warszawa
Doskonała inwestycja na wynajem -Warsaw Apartments,509900.0,"al. Aleje Jerozolimskie, Salomea, Włochy, Warszawa, mazowieckie",30.0,1,3/4,,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/doskonala-inwestycja-na-wynajem-warsaw-apartments-ID4mHLD,Mazowieckie,Warszawa
Apartament Warsaw Apartments Jerozolimskie Roi 14%,359000.0,"al. Aleje Jerozolimskie, Salomea, Włochy, Warszawa, mazowieckie",21.0,1,4/4,,,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/apartament-warsaw-apartments-jerozolimskie-roi-14-ID4k8Cl,Mazowieckie,Warszawa
4-pokojowe mieszkanie 116m2 + ogródek Bez Prowizji,2242752.0,"ul. Figowa, Siekierki, Mokotów, Warszawa, mazowieckie",116.81,4,parter/2,do wykończenia,,garaż/miejsce parkingowe,"taras, ogródek",https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-116m2-ogrodek-bez-prowizji-ID4kgvy,Mazowieckie,Warszawa
2-pokojowe mieszkanie 38m2 + ogródek Bez Prowizji,895419.0,"ul. Białej Koniczyny/ul. Dzikich Jabłoni, Stegny, Mokotów, Warszawa, mazowieckie",38.43,2,parter/2,do wykończenia,,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-ogrodek-bez-prowizji-ID4i775,Mazowieckie,Warszawa
3-pokojowy apartament 66m2 + balkon Bezpośrednio,,"ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie",66.88,3,5/6,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-66m2-balkon-bezposrednio-ID4l3r0,Mazowieckie,Warszawa
2-pokojowy apartament 50m2 + loggia,,"ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie",50.78,2,6/6,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-50m2-loggia-ID4l3qK,Mazowieckie,Warszawa
Designerski apartament na Mokotowie | 3 pokoje,1950000.0,"ul. Postępu, Służewiec, Mokotów, Warszawa, mazowieckie",77.0,3,6/8,do zamieszkania,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/designerski-apartament-na-mokotowie-3-pokoje-ID4nSVh,Mazowieckie,Warszawa
GOTOWE 2-pok. 42.06m2 na BEMOWIE. Kup i Zamieszkaj,76647617.0,"ul. Kopalniana, Chrzanów, Bemowo, Warszawa, mazowieckie",42.06,2,3/4,do wykończenia,miejskie,,,https://www.otodom.pl/pl/oferta/gotowe-2-pok-42-06m2-na-bemowie-kup-i-zamieszkaj-ID4nUHM,Mazowieckie,Warszawa
Po generalnym remoncie mieszkanie na Saskiej Kępie,880000.0,"al. Aleja Stanów Zjednoczonych, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",57.0,3,2/10,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-mieszkanie-na-saskiej-kepie-ID4nF1x,Mazowieckie,Warszawa
Metro/Targówek/2 pokoje/46m2/Balkon/Do remontu,579000.0,"ul. Krasnobrodzka, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",46.4,2,2/10,,miejskie,,,https://www.otodom.pl/pl/oferta/metro-targowek-2-pokoje-46m2-balkon-do-remontu-ID4nQUs,Mazowieckie,Warszawa
"4-pok na Bemowie. GOTOWE osiedle, Kup i Zamieszkaj",162499380.0,"ul. Kopalniana, Chrzanów, Bemowo, Warszawa, mazowieckie",98.79,4,2/4,do wykończenia,miejskie,,,https://www.otodom.pl/pl/oferta/4-pok-na-bemowie-gotowe-osiedle-kup-i-zamieszkaj-ID4nUI8,Mazowieckie,Warszawa
"Sprzedam mieszkanie 50,7 m2 os. Greenwood",760000.0,"Luciana Pavarottiego 9, Kobiałka, Białołęka, Warszawa, mazowieckie",50.7,2,1/2,do zamieszkania,kotłownia,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-50-7-m2-os-greenwood-ID4nUOo,Mazowieckie,Warszawa
3 pokoje na Ursynowie | ul. Na Uboczu,895000.0,"ul. Na Uboczu, Natolin, Ursynów, Warszawa, mazowieckie",66.3,3,3/11,do wykończenia,miejskie,,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-na-ursynowie-ul-na-uboczu-ID4metS,Mazowieckie,Warszawa
Saska Kępa | 2 Pok. | Dwustronne | 2003 r.,1100000.0,"ul. Lipska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",50.8,2,1/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/saska-kepa-2-pok-dwustronne-2003-r-ID4nSiy,Mazowieckie,Warszawa
"Kawalerka | Mokotów | 30,90 m2",599000.0,"ul. Maltańska, Stegny, Mokotów, Warszawa, mazowieckie",30.9,1,8/12,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/kawalerka-mokotow-30-90-m2-ID4nOUH,Mazowieckie,Warszawa
Mieszkanie 2 Pok. | Śródmieście | 5 Piętro,1250000.0,"ul. Nowogrodzka, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",57.05,2,5/6,do remontu,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-srodmiescie-5-pietro-ID4nRT1,Mazowieckie,Warszawa
"2 pokoje mieszkanie w sercu Saskiej Kępy | 57,71m2",1075000.0,"al. Aleja Jerzego Waszyngtona, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",57.71,2,7/14,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-mieszkanie-w-sercu-saskiej-kepy-57-71m2-ID4n06s,Mazowieckie,Warszawa
Rezydencja Niska | 2pok | Luksusowy Apartament,1400000.0,"ul. Niska, Nowolipki, Wola, Warszawa, mazowieckie",54.0,2,2/3,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/rezydencja-niska-2pok-luksusowy-apartament-ID4iKf1,Mazowieckie,Warszawa
"Ciche,Po Remoncie, Garaż, Metro!!",1559000.0,"al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie",106.5,3,1/2,do zamieszkania,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/ciche-po-remoncie-garaz-metro-ID4lOYV,Mazowieckie,Warszawa
Zaciszne I Komfortowe Mieszkanie Na Białołęce !,650000.0,"ul. Przylesie, Dąbrówka Szlachecka, Białołęka, Warszawa, mazowieckie",65.6,2,4/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/zaciszne-i-komfortowe-mieszkanie-na-bialolece-ID4lFBS,Mazowieckie,Warszawa
"Bezpośrednio, 3 pokoje po remoncie, metro Bemowo",939000.0,"ul. gen. Tadeusza Pełczyńskiego, Górce, Bemowo, Warszawa, mazowieckie",57.2,3,parter/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-po-remoncie-metro-bemowo-ID4nLqS,Mazowieckie,Warszawa
Kameralne mieszkanie bezczynszowe Stary Rembertów,967777.0,"ul. Magenta / Listonoszy, Stary Rembertów, Rembertów, Warszawa, mazowieckie",103.0,4,1/2,do wykończenia,gazowe,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/kameralne-mieszkanie-bezczynszowe-stary-rembertow-ID4cPz9,Mazowieckie,Warszawa
METRO ★2 pokoje ★Klima ★NOWE BUD ★bezpośrednio ★KW,660000.0,"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",33.0,2 ,4/6,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/metro-2-pokoje-klima-nowe-bud-bezposrednio-kw-ID4nNHd,Mazowieckie,Warszawa
"Mieszkanie 38m2, 2 pokoje z kuchnią i balkonem",550000.0,"ul. 11 Listopada, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",37.9,2 ,1/10,do wykończenia,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-38m2-2-pokoje-z-kuchnia-i-balkonem-ID4nNW5,Mazowieckie,Warszawa
"NOWE, 2 Pokojowe, Stan Deweloperski, Metro, Garaż",670000.0,"ul. Floriana Znanieckiego, Gocław, Praga-Południe, Warszawa, mazowieckie",40.53,2 ,2/6,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-stan-deweloperski-metro-garaz-ID4nm63,Mazowieckie,Warszawa
4 pokojowe dla rodziny lub inwestycyjnie,1049000.0,"ul. Ostrobramska, Gocławek, Praga-Południe, Warszawa, mazowieckie",79.3,4 ,parter/10,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/4-pokojowe-dla-rodziny-lub-inwestycyjnie-ID4nGyQ,Mazowieckie,Warszawa
3-pokojowe mieszkanie 68m2 + loggia,,"al. Aleja Krakowska, Raków, Włochy, Warszawa, mazowieckie",68.97,3 ,1/8,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-68m2-loggia-ID4hFh6,Mazowieckie,Warszawa
2 pokoje w zielonym Międzylesiu bez prowizji,650400.0,"Międzylesie, Wawer, Warszawa, mazowieckie",43.36,2 ,3/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-w-zielonym-miedzylesiu-bez-prowizji-ID4nKI5,Mazowieckie,Warszawa
"ul.Dolna, Mokotów",349000.0,"Sielce, Mokotów, Warszawa, mazowieckie",12.5,1 ,,,,,,https://www.otodom.pl/pl/oferta/ul-dolna-mokotow-ID4nOJs,Mazowieckie,Warszawa
"Bezpośrednio! Górnośląska,2 pokoje z kuchnią, 42m2",840000.0,"ul. Górnośląska, Solec, Śródmieście, Warszawa, mazowieckie",42.45,2 ,1,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/bezposrednio-gornoslaska-2-pokoje-z-kuchnia-42m2-ID4nWbO,Mazowieckie,Warszawa
Mieszkanie Warszawa ul. Dalanowska 46 Bezpośrednio,750000.0,"ul. Dalanowska 46, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",44.34,2 ,2,do zamieszkania,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-ul-dalanowska-46-bezposrednio-ID4lc3s,Mazowieckie,Warszawa
4-pokojowe mieszkanie 87m2 + 2 balkony,,"ul. Namysłowska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",87.15,4 ,5/6,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-2-balkony-ID4n2ql,Mazowieckie,Warszawa
"2-pokoje - 20min do Centrum - czynsz 221zł, 2%",418928.0,"ul. Lewandów, Grodzisk, Białołęka, Warszawa, mazowieckie",34.03,2 ,2/2,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-20min-do-centrum-czynsz-221zl-2-ID4nWam,Mazowieckie,Warszawa
Blisko Stacji PKP,629000.0,"Salomea, Włochy, Warszawa, mazowieckie",42.77,2 ,4/6,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/blisko-stacji-pkp-ID4nAvX,Mazowieckie,Warszawa
Mieszkanie trzypokojowe z ogródkiem 146 m,750000.0,"ul. Białołęcka, Brzeziny, Białołęka, Warszawa, mazowieckie",49.36,3 ,parter,do zamieszkania,,,"ogródek, taras",https://www.otodom.pl/pl/oferta/mieszkanie-trzypokojowe-z-ogrodkiem-146-m-ID4nNW3,Mazowieckie,Warszawa
WYJĄTKOWE - ECO Berensona - KREDYT 2% Bezpośrednio,417000.0,"ul. Leona Berensona, Grodzisk, Białołęka, Warszawa, mazowieckie",34.0,2 ,,,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/wyjatkowe-eco-berensona-kredyt-2-bezposrednio-ID4npdy,Mazowieckie,Warszawa
3-pokojowe mieszkanie 62m2 + balkon Bezpośrednio,,"ul. Duninów, Henryków, Białołęka, Warszawa, mazowieckie",62.11,3 ,3/4,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-62m2-balkon-bezposrednio-ID4c9jT,Mazowieckie,Warszawa
"Bemowo 2 Pok. Garaż, Kom.Lok. 2021 R",745000.0,"ul. Oławska, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",40.0,2 ,3/6,do zamieszkania,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/bemowo-2-pok-garaz-kom-lok-2021-r-ID4nTyK,Mazowieckie,Warszawa
trzy pokoje w świetnej lokalizacji,860000.0,"ul. Czerniakowska 149, Ujazdów, Śródmieście, Warszawa, mazowieckie",57.59,3 ,1/4,do remontu,gazowe,,,https://www.otodom.pl/pl/oferta/trzy-pokoje-w-swietnej-lokalizacji-ID4nJ5i,Mazowieckie,Warszawa
"Nowe, idealne dla rodziny, możliwość kredytowania",1700000.0,"Gumińska, Odolany, Wola, Warszawa, mazowieckie",90.91,4 ,5/8,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-idealne-dla-rodziny-mozliwosc-kredytowania-ID4nGTH,Mazowieckie,Warszawa
Doskonała Lokalizacja 50m od Metra Wilanowska,985000.0,"ul. Bukowińska, Ksawerów, Mokotów, Warszawa, mazowieckie",55.0,2 ,7/9,do zamieszkania,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/doskonala-lokalizacja-50m-od-metra-wilanowska-ID4nW9w,Mazowieckie,Warszawa
Dwa pokoje w kamienicy tuż przy Placu Narutowicza,824000.0,"Stara Ochota, Ochota, Warszawa, mazowieckie",44.0,2 ,3/4,do zamieszkania,elektryczne,,,https://www.otodom.pl/pl/oferta/dwa-pokoje-w-kamienicy-tuz-przy-placu-narutowicza-ID4nW9e,Mazowieckie,Warszawa
"Zielony, rodzinny Muranów z garażem",780000.0,"ul. Mordechaja Anielewicza, Nowolipki, Wola, Warszawa, mazowieckie",48.3,3 ,5/9,do remontu,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/zielony-rodzinny-muranow-z-garazem-ID4nW9b,Mazowieckie,Warszawa
