Title,Price,Location,Surface,Number_of_Rooms,Floor,Finishing_Condition,Heating,Parking_Space,Balcony_Garden_Terrace,Link,Voivodeship,City
3-pokojowe mieszkanie Żoliborz / bezpośrednio,1500000.0,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",64.8,3 ,1/14,,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-zoliborz-bezposrednio-ID4nvZR,Mazowieckie,Warszawa
"Apartament w paryskim stylu, Centrum",1950000.0,"ul. Poznańska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",54.13,2 ,3/5,,,,balkon,https://www.otodom.pl/pl/oferta/apartament-w-paryskim-stylu-centrum-ID4nRJX,Mazowieckie,Warszawa
Penthouse z dużym tarasem i widokiem na Warszawę,7000000.0,"ul. Grzybowska, Mirów, Wola, Warszawa, mazowieckie",198.0,4 ,> 10/22,,,,taras,https://www.otodom.pl/pl/oferta/penthouse-z-duzym-tarasem-i-widokiem-na-warszawe-ID4nsjH,Mazowieckie,Warszawa
Przy Parku Szczęśliwickim | 3 miejsca parkingowe,4500000.0,"ul. Maszynowa, Szczęśliwice, Ochota, Warszawa, mazowieckie",115.0,4 ,3/3,do zamieszkania,,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/przy-parku-szczesliwickim-3-miejsca-parkingowe-ID4n5vk,Mazowieckie,Warszawa
"Apartament Zlota 44, 2 sypialnie, 2 łazienki",5500000.0,"ul. Złota, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",92.0,3 ,> 10/52,,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/apartament-zlota-44-2-sypialnie-2-lazienki-ID4ni6x,Mazowieckie,Warszawa
"REMBERTÓW 32m2+ piwnica, Przy stacji SKM",499000.0,"ul. Cyrulików 75, Stary Rembertów, Rembertów, Warszawa, mazowieckie",32.0,1 ,parter/3,do zamieszkania,kotłownia,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/rembertow-32m2-piwnica-przy-stacji-skm-ID4nc4S,Mazowieckie,Warszawa
2 Pokoje Z Widokiem - Blisko Metra - Na Kredyt 2 %,654900.0,"ul. Secemińska, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",47.0,2 ,6/7,do zamieszkania,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/2-pokoje-z-widokiem-blisko-metra-na-kredyt-2-ID4nAy0,Mazowieckie,Warszawa
"4 pokoje 70,4 m2 , Warszawa Ursynów",799000.0,"ul. Czesława Przybylskiego, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",70.4,4 ,3/4,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/4-pokoje-70-4-m2-warszawa-ursynow-ID4npWQ,Mazowieckie,Warszawa
"2 pokoje 51 m2, 5 min do SKM",619000.0,"ul. Grawerska, Nowy Rembertów, Rembertów, Warszawa, mazowieckie",51.1,2 ,2/3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-51-m2-5-min-do-skm-ID4nqoi,Mazowieckie,Warszawa
3 pokoje I 2 balkony I metro,1600000.0,"Stary Imielin, Ursynów, Warszawa, mazowieckie",83.0,4 ,4/7,,miejskie,,,https://www.otodom.pl/pl/oferta/3-pokoje-i-2-balkony-i-metro-ID4nWih,Mazowieckie,Warszawa
"NOWE Bez PCC Wysokość 3,5m Ogród 147m2 Metro Wola",1702730.0,"Czyste, Wola, Warszawa, mazowieckie",83.06,4 ,parter/5,do wykończenia,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/nowe-bez-pcc-wysokosc-3-5m-ogrod-147m2-metro-wola-ID4nFRk,Mazowieckie,Warszawa
Lux apartament na Warszawskim Powiślu,1600000.0,"Solec, Śródmieście, Warszawa, mazowieckie",59.83,2 ,1/12,,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/lux-apartament-na-warszawskim-powislu-ID4mE6w,Mazowieckie,Warszawa
Okazja Cenowa!!!4 Pok Plus Strych,760000.0,"Skorosze, Ursus, Warszawa, mazowieckie",94.3,4 ,3/3,do remontu,gazowe,,,https://www.otodom.pl/pl/oferta/okazja-cenowa-4-pok-plus-strych-ID4nE3X,Mazowieckie,Warszawa
4 pokoje / msc. parkingowe/ Metro Wilanowska,865000.0,"Służew, Mokotów, Warszawa, mazowieckie",56.0,4 ,3/10,do zamieszkania,inne,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pokoje-msc-parkingowe-metro-wilanowska-ID4nI7v,Mazowieckie,Warszawa
"Komfortowe, nowe 3 pokoje 74m2 z pięknym widokiem",1180000.0,"Wierzbno, Mokotów, Warszawa, mazowieckie",73.48,3 ,4/4,,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/komfortowe-nowe-3-pokoje-74m2-z-pieknym-widokiem-ID4npZM,Mazowieckie,Warszawa
2-pokojowe mieszkanie deweloperskie Ursus Skorosze,477000.0,"Czechowice, Ursus, Warszawa, mazowieckie",29.5,2 ,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-deweloperskie-ursus-skorosze-ID4ngPy,Mazowieckie,Warszawa
Apartament z Garażem i tarasem Cicho i super miejs,798000.0,"ul. Czapelska, Grochów, Praga-Południe, Warszawa, mazowieckie",48.0,2 ,1/7,,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/apartament-z-garazem-i-tarasem-cicho-i-super-miejs-ID4nWh6,Mazowieckie,Warszawa
nowoczesne | 2 pokoje | wyposażone,799000.0,"ul. Marii Rodziewiczówny, Gocławek, Praga-Południe, Warszawa, mazowieckie",49.33,2 ,2/25,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-wyposazone-ID4iU81,Mazowieckie,Warszawa
Kawalerka | 35 m2 | Ursynów,579000.0,"Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",34.45,1 ,parter/4,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/kawalerka-35-m2-ursynow-ID4nA12,Mazowieckie,Warszawa
Ursynów 4 Pokoje gotowe do zamieszkania !,997650.0,"ul. Aleksandra Janowskiego, Ursynów Północny, Ursynów, Warszawa, mazowieckie",73.9,4 ,3/3,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/ursynow-4-pokoje-gotowe-do-zamieszkania-ID4n0gy,Mazowieckie,Warszawa
Nowoczesny apartament o wysokim standardzie,1400000.0,"Czechowice, Ursus, Warszawa, mazowieckie",80.0,2 ,6/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-o-wysokim-standardzie-ID4nJaK,Mazowieckie,Warszawa
Warszawa-Wawer | 3 pokoje | blisko PKP,849000.0,"Falenica, Wawer, Warszawa, mazowieckie",58.36,3 ,1/5,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/warszawa-wawer-3-pokoje-blisko-pkp-ID4nD9s,Mazowieckie,Warszawa
2 pokoje_antresola_2tarasy/ Developer bezpośrednio,1486000.0,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",103.5,2 ,2/3,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/2-pokoje-antresola-2tarasy-developer-bezposrednio-ID4nWgL,Mazowieckie,Warszawa
Mieszkanie 3/4 Pokojowe - Rozkładowe i Jasne,900000.0,"ul. Dedala, Gocław, Praga-Południe, Warszawa, mazowieckie",87.1,4 ,4/4,do wykończenia,,,taras,https://www.otodom.pl/pl/oferta/mieszkanie-3-4-pokojowe-rozkladowe-i-jasne-ID4npFl,Mazowieckie,Warszawa
Przestronne Mieszkanie w zielonej okolicy.,749000.0,"ul. Ogórkowa, Nadwiśle, Wawer, Warszawa, mazowieckie",69.0,3 ,1/1,do zamieszkania,kotłownia,garaż/miejsce parkingowe,"balkon, ogródek",https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-zielonej-okolicy-ID4nooV,Mazowieckie,Warszawa
"Apartament z basenem - Wola, Jana Kaziemierza",849000.0,"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",41.2,2 ,4/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/apartament-z-basenem-wola-jana-kaziemierza-ID4nN9P,Mazowieckie,Warszawa
3 pokoje_balkon #0PCC + Developer,822000.0,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",66.5,3 ,1/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-balkon-0pcc-developer-ID4nWgm,Mazowieckie,Warszawa
"Dwa pokoje Solec 115, 2 piętro, winda, ciche",720000.0,"ul. Solec, Solec, Śródmieście, Warszawa, mazowieckie",36.0,2 ,2/8,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, ogródek",https://www.otodom.pl/pl/oferta/dwa-pokoje-solec-115-2-pietro-winda-ciche-ID4nJak,Mazowieckie,Warszawa
3 pokojowe mieszkanie z garażem i balkonem,799000.0,"Mariana Wyrzykowskiego, Nowodwory, Białołęka, Warszawa, mazowieckie",59.0,3 ,3/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-garazem-i-balkonem-ID4nN9B,Mazowieckie,Warszawa
"Miasteczko Wilanów, 2pok, gotowe z meblami",849000.0,"al. Aleja Rzeczypospolitej 33a, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",41.73,2 ,1/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/miasteczko-wilanow-2pok-gotowe-z-meblami-ID4nooI,Mazowieckie,Warszawa
Mieszkanie 3-pokojowe 61.5m - bliska Białołęka,879000.0,"ul. Głębocka 115, Grodzisk, Białołęka, Warszawa, mazowieckie",61.5,3 ,2/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-61-5m-bliska-bialoleka-ID4nJa7,Mazowieckie,Warszawa
3-pokojowe mieszkanie 66m2 + ogródek Bezpośrednio,1421602.0,"ul. Białej Koniczyny/ul. Dzikich Jabłoni, Stegny, Mokotów, Warszawa, mazowieckie",66.43,3 ,parter/2,do wykończenia,,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-ogrodek-bezposrednio-ID4i0sv,Mazowieckie,Warszawa
"Bez Prowizji, Bez Pcc, Rynek Pierwotny",577908.0,"ul. Warszawska, Niedźwiadek, Ursus, Warszawa, mazowieckie",53.51,3 ,2/2,do wykończenia,inne,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/bez-prowizji-bez-pcc-rynek-pierwotny-ID4nCDZ,Mazowieckie,Warszawa
3 pokoje_baklon/developer_bezpośrednio,832000.0,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",67.0,3 ,2/3,,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-baklon-developer-bezposrednio-ID4nWfS,Mazowieckie,Warszawa
Pełne uroku mieszkanie z widokiem na Wisłę,619000.0,"ul. Górnośląska, Solec, Śródmieście, Warszawa, mazowieckie",30.0,2 ,9/15,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/pelne-uroku-mieszkanie-z-widokiem-na-wisle-ID4nObK,Mazowieckie,Warszawa
Mieszkanie 77m2 3/4 pokoje Górce Bemowo,950000.0,"Górce, Bemowo, Warszawa, mazowieckie",77.0,3 ,5/10,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-77m2-3-4-pokoje-gorce-bemowo-ID4nWft,Mazowieckie,Warszawa
4-pokojowe mieszkanie 80m2 + loggia Bezpośrednio,1632500.0,"ul. Białej Koniczyny/ul. Dzikich Jabłoni, Stegny, Mokotów, Warszawa, mazowieckie",80.32,4 ,1/2,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-80m2-loggia-bezposrednio-ID4i0sz,Mazowieckie,Warszawa
